Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2018-12-28,247.75,251.4,246.45,249.58,153100189
2018-12-31,249.92,250.19,247.47,249.56,144299370
2019-01-01,249.92,250.19,247.47,249.56,144299370
2019-01-02,250.18,251.21,245.95,245.98,126925199
2019-01-03,244.21,248.57,243.67,248.23,144140692
2019-01-04,252.39,253.11,247.17,247.59,142628834
2019-01-07,254.38,255.95,251.69,252.69,103139100
2019-01-08,256.77,257.31,254,256.82,102512587
2019-01-09,257.97,258.91,256.19,257.56,95006554
2019-01-10,258.88,259.16,255.5,256.26,96823923
2019-01-11,258.98,259.0098,257.03,257.68,73858110
2019-01-14,257.4,258.3,256.41,256.86,70908227
2019-01-15,260.35,260.7,257.81,257.82,85208271
2019-01-16,260.98,261.9666,260.6,260.83,77636710
2019-01-17,262.96,263.92,259.96,260.01,96118435
2019-01-18,266.46,266.98,262.998,264.98,127900303
2019-01-21,266.46,266.98,262.998,264.98,127900303
2019-01-22,262.86,265.06,261.06,264.82,115531183
2019-01-23,263.41,264.79,260.66,264.01,86030287
2019-01-24,263.55,264.2,262.08,263.21,59204139
2019-01-25,265.78,266.7,263.6595,265.61,96883358
2019-01-28,263.76,263.83,261.79,263.39,85613655
