Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN
2020-12-10,0.9063,0.9394,0.903,0.9278
2020-12-11,0.8964,0.913,0.8717,0.9063
2020-12-14,0.8931,0.9378,0.8865,0.9063
2020-12-15,0.908,0.9229,0.8832,0.8948
2020-12-16,0.9163,0.9511,0.8997,0.9113
2020-12-17,0.9329,0.9429,0.8898,0.9196
2020-12-18,0.9462,0.9496,0.913,0.9296
2020-12-21,0.9346,0.9479,0.8799,0.9363
2020-12-22,0.9164,0.938,0.913,0.933
2020-12-23,0.943,0.9713,0.9014,0.9164
2020-12-24,0.9231,0.9529,0.9197,0.943
2020-12-25,0.9231,0.9231,0.9231,0.9231
2020-12-28,0.9231,0.9614,0.9214,0.9347
2020-12-29,0.9364,0.9497,0.9264,0.9331
2020-12-30,0.9231,0.9548,0.9214,0.9331
2020-12-31,0.9132,0.9348,0.9082,0.9248
2021-01-01,0.9132,0.9132,0.9132,0.9132
2021-01-04,0.9132,0.9515,0.9049,0.9265
2021-01-05,0.9549,0.9616,0.9148,0.9182
2021-01-06,1.0355,1.0524,0.9432,0.9465
2021-01-07,1.0795,1.0863,1.0271,1.0338
2021-01-08,1.1153,1.1238,1.0729,1.0778
2021-01-11,1.146,1.146,1.0933,1.1103
2021-01-12,1.1291,1.1855,1.1274,1.1443
2021-01-13,1.0832,1.1325,1.0713,1.1137
2021-01-14,1.1292,1.136,1.073,1.0832
2021-01-15,1.0835,1.1258,1.0818,1.1241
2021-01-18,1.0835,1.0835,1.0835,1.0835
2021-01-19,1.0886,1.1193,1.0852,1.0988
2021-01-20,1.0802,1.104,1.0734,1.1005
2021-01-21,1.1058,1.1211,1.0751,1.0836
2021-01-22,1.0855,1.116,1.0804,1.1109
2021-01-25,1.0295,1.1009,1.0278,1.094
2021-01-26,1.0347,1.0516,1.0262,1.0397
2021-01-27,1.0161,1.0483,0.9992,1.0381
2021-01-28,1.0449,1.0704,0.9941,1.0195
2021-01-29,1.0655,1.103,1.0398,1.0449
2021-02-01,1.0792,1.0877,1.0587,1.0672
2021-02-02,1.0963,1.1168,1.0723,1.0826
2021-02-03,1.1374,1.1391,1.1031,1.1082
2021-02-04,1.1392,1.1598,1.1289,1.1391
2021-02-05,1.1635,1.1859,1.1274,1.1358
2021-02-08,1.1705,1.1981,1.1481,1.1721
2021-02-09,1.1568,1.1688,1.1379,1.1636
2021-02-10,1.1225,1.1741,1.1208,1.1637
2021-02-11,1.1632,1.1648,1.1134,1.1466
2021-02-12,1.2082,1.2099,1.1482,1.1615
2021-02-15,1.2082,1.2082,1.2082,1.2082
2021-02-16,1.3141,1.3141,1.2216,1.2484
2021-02-17,1.2703,1.331,1.2669,1.3259
2021-02-18,1.2956,1.3159,1.2552,1.2703
2021-02-19,1.3364,1.3601,1.2804,1.2905
2021-02-22,1.3653,1.3925,1.3245,1.3601
2021-02-23,1.3416,1.3875,1.3399,1.3619
2021-02-24,1.3756,1.4337,1.328,1.3399
2021-02-25,1.5199,1.6085,1.3722,1.3773
2021-02-26,1.4049,1.5546,1.3776,1.5251
2021-03-01,1.417,1.4582,1.3776,1.3912
2021-03-02,1.3914,1.4514,1.388,1.4204
2021-03-03,1.4808,1.4946,1.3965,1.3982
2021-03-04,1.564,1.5675,1.4481,1.4825
2021-03-05,1.5661,1.6238,1.5331,1.564
2021-03-08,1.5907,1.6116,1.5731,1.594
2021-03-09,1.5263,1.5924,1.5211,1.5889
2021-03-10,1.5178,1.5647,1.5039,1.5229
2021-03-11,1.537,1.5457,1.4729,1.5212
2021-03-12,1.6247,1.6405,1.53,1.5387
2021-03-15,1.6055,1.6371,1.5933,1.6352
2021-03-16,1.6179,1.6267,1.5829,1.5985
2021-03-17,1.6427,1.6868,1.6144,1.6197
2021-03-18,1.7082,1.7526,1.6268,1.6568
2021-03-19,1.721,1.7477,1.6679,1.7082
2021-03-22,1.6946,1.7051,1.661,1.7051
2021-03-23,1.6206,1.6999,1.6136,1.6804
2021-03-24,1.6084,1.6489,1.5872,1.6118
2021-03-25,1.6332,1.6402,1.5875,1.6084
2021-03-26,1.676,1.6795,1.6173,1.6244
2021-03-29,1.7081,1.7259,1.6337,1.6707
2021-03-30,1.7029,1.7742,1.7029,1.7116
2021-03-31,1.7404,1.7494,1.7066,1.7136
2021-04-01,1.6699,1.7511,1.6699,1.7369
2021-04-02,1.7216,1.727,1.6612,1.6843
2021-04-05,1.7003,1.743,1.6948,1.6983
2021-04-06,1.656,1.7146,1.6507,1.6985
2021-04-07,1.6739,1.6774,1.6261,1.6631
2021-04-08,1.6192,1.6703,1.6156,1.6668
2021-04-09,1.6585,1.6851,1.6192,1.6315
2021-04-12,1.6657,1.6835,1.6427,1.6709
2021-04-13,1.6145,1.7015,1.6145,1.6728
2021-04-14,1.6323,1.6483,1.6092,1.6145
2021-04-15,1.5759,1.6447,1.5268,1.6394
2021-04-16,1.5798,1.5975,1.5499,1.5654
2021-04-19,1.6047,1.6153,1.55,1.5763
2021-04-20,1.5589,1.6314,1.5554,1.5976
2021-04-21,1.5555,1.582,1.552,1.5642
2021-04-22,1.538,1.5856,1.5292,1.5538
2021-04-23,1.5577,1.5807,1.5296,1.5468
2021-04-26,1.5667,1.5967,1.5543,1.5613
2021-04-27,1.6216,1.627,1.5684,1.5702
2021-04-28,1.6094,1.6556,1.6058,1.6199
2021-04-29,1.6343,1.686,1.6272,1.6272
2021-04-30,1.6259,1.6575,1.6188,1.6415
2021-05-03,1.5976,1.6527,1.5763,1.6438
2021-05-04,1.5924,1.6208,1.5552,1.6013
2021-05-05,1.566,1.6245,1.566,1.589
2021-05-06,1.5696,1.5891,1.5555,1.5766
2021-05-07,1.5771,1.5824,1.4643,1.5643
2021-05-10,1.602,1.6074,1.5577,1.5824
2021-05-11,1.6217,1.6289,1.5843,1.5985
2021-05-12,1.6916,1.6988,1.6076,1.6271
2021-05-13,1.6574,1.7035,1.6488,1.6984
2021-05-14,1.6284,1.6642,1.6233,1.6608
2021-05-17,1.6488,1.6505,1.6029,1.6335
2021-05-18,1.6369,1.6557,1.6267,1.6454
2021-05-19,1.671,1.6899,1.6182,1.6386
2021-05-20,1.625,1.6779,1.6233,1.671
2021-05-21,1.6216,1.6386,1.6114,1.6335
2021-05-24,1.6012,1.625,1.5944,1.6182
2021-05-25,1.5588,1.608,1.552,1.6063
2021-05-26,1.5757,1.5808,1.5503,1.5604
2021-05-27,1.6062,1.6233,1.5689,1.5791
2021-05-28,1.5943,1.6216,1.5756,1.6096
2021-05-31,1.5943,1.5943,1.5943,1.5943
2021-06-01,1.6062,1.6369,1.6028,1.6062
2021-06-02,1.5875,1.6198,1.5858,1.613
2021-06-03,1.625,1.6284,1.5841,1.5858
2021-06-04,1.5534,1.6335,1.5517,1.6267
2021-06-07,1.5687,1.5806,1.5619,1.567
2021-06-08,1.5331,1.5721,1.5111,1.5687
2021-06-09,1.4908,1.5347,1.4705,1.5331
2021-06-10,1.4318,1.533,1.4318,1.4874
2021-06-11,1.4518,1.4704,1.4266,1.4385
2021-06-14,1.494,1.5024,1.4535,1.4586
2021-06-15,1.4922,1.5108,1.4787,1.4906
2021-06-16,1.5754,1.589,1.4804,1.4939
2021-06-17,1.504,1.5907,1.4702,1.5839
2021-06-18,1.4381,1.5226,1.4364,1.5142
2021-06-21,1.4886,1.4954,1.3526,1.4381
2021-06-22,1.4632,1.5072,1.4599,1.492
2021-06-23,1.4852,1.497,1.4565,1.4649
2021-06-24,1.4919,1.5038,1.475,1.4818
2021-06-25,1.5241,1.5428,1.4749,1.4902
2021-06-28,1.4765,1.5309,1.4698,1.5241
2021-06-29,1.4697,1.5087,1.4697,1.4833
2021-06-30,1.468,1.4832,1.4359,1.4731
2021-07-01,1.4578,1.4832,1.4527,1.468
2021-07-02,1.4238,1.4679,1.4221,1.4646
2021-07-05,1.4238,1.4238,1.4238,1.4238
2021-07-06,1.3481,1.4457,1.3464,1.4356
2021-07-07,1.3163,1.3665,1.2946,1.3531
2021-07-08,1.2928,1.3196,1.2479,1.3196
2021-07-09,1.3595,1.3595,1.3045,1.3062
2021-07-12,1.3645,1.3746,1.3242,1.3595
2021-07-13,1.4166,1.42,1.3409,1.3628
2021-07-14,1.3459,1.4217,1.3459,1.4133
2021-07-15,1.2989,1.3475,1.2906,1.3442
2021-07-16,1.2903,1.3338,1.2903,1.2989
2021-07-19,1.1888,1.2885,1.1723,1.2669
2021-07-20,1.2218,1.2235,1.126,1.1888
2021-07-21,1.2884,1.3001,1.1902,1.2235
2021-07-22,1.2783,1.3134,1.2316,1.2766
2021-07-23,1.2763,1.3098,1.263,1.263
2021-07-26,1.2896,1.2946,1.2196,1.2813
2021-07-27,1.2411,1.2896,1.2278,1.2896
2021-07-28,1.2327,1.2727,1.2243,1.2394
2021-07-29,1.2693,1.281,1.2293,1.2377
2021-07-30,1.2223,1.2626,1.2206,1.2592
2021-08-02,1.1773,1.2438,1.1475,1.2339
2021-08-03,1.1722,1.1988,1.1523,1.1789
2021-08-04,1.182,1.2136,1.1258,1.1722
2021-08-05,1.2235,1.2269,1.167,1.187
2021-08-06,1.2969,1.3036,1.2218,1.2235
2021-08-09,1.3237,1.3288,1.2666,1.2918
2021-08-10,1.349,1.3558,1.3052,1.3187
2021-08-11,1.3303,1.3743,1.3,1.3541
2021-08-12,1.359,1.3776,1.332,1.3421
2021-08-13,1.2767,1.3607,1.2767,1.3556
2021-08-16,1.265,1.2834,1.2217,1.2834
2021-08-17,1.2617,1.2717,1.215,1.2617
2021-08-18,1.2583,1.2968,1.2533,1.2583
2021-08-19,1.2433,1.265,1.2183,1.2617
2021-08-20,1.255,1.265,1.225,1.24
2021-08-23,1.2517,1.2818,1.25,1.2567
2021-08-24,1.2935,1.2969,1.2533,1.2533
2021-08-25,1.339,1.3491,1.2818,1.2935
2021-08-26,1.3491,1.3728,1.3289,1.3407
2021-08-27,1.307,1.3577,1.2986,1.3441
2021-08-30,1.2785,1.3138,1.2768,1.3054
2021-08-31,1.3088,1.3138,1.2667,1.2785
2021-09-01,1.2936,1.3324,1.2819,1.3138
2021-09-02,1.2835,1.3037,1.2819,1.3004
2021-09-03,1.3223,1.3342,1.2617,1.2886
2021-09-06,1.3223,1.3223,1.3223,1.3223
